title,make,model,era,origin,vehicleLocation,seller,sellerLocation,sellerType,listingDetail1,listingDetail2,listingDetail3,listingDetail4,listingDetail5,views,watchers,status,dateSold,saleAmount,auctionUrl,scrapedAt
1963 Porsche 356B Coupe,Porsche,Porsche 356B,1960s,German,United States,MYTSIA,"Imperial Beach, California 91932",Dealer,Chassis: 211849,78k Miles Shown,1.6-Liter Super 90 Flat-Four,Four-Speed Manual Transaxle,Bali Blue Paint,16933,1779,bid,1/14/26,67000,https://bringatrailer.com/listing/1963-porsche-356b-coupe-33/,2026-01-15T14:43:11.937Z
1982 Toyota Land Cruiser FJ43 by FJ Company,Toyota,Toyota Land Cruiser FJ43,1980s,Japanese,United States,Wob,"Newbury Park, California 91320",Dealer,Chassis: FJ43109975,"9k Kilometers (~5,500 Miles) Shown Since Build",FJ Company Build #1111,Magnuson Supercharger,Toyota 1GR-FE 4.0-Liter V6,17711,1238,sold,1/14/26,246691,https://bringatrailer.com/listing/1982-toyota-land-cruiser-fj43-27/,2026-01-15T14:43:13.805Z
1980 Porsche 911SC Targa,Porsche,Porsche 911SC,1980s,German,United States,biggiebl,"Phoenix, Arizona 85016",Private,Chassis: 91A0142570,41k Miles Shown,3.0-Liter Flat-Six,Five-Speed Manual Transaxle,Copper Brown Metallic Paint,7759,1088,bid,1/14/26,61500,https://bringatrailer.com/listing/1980-porsche-911sc-135/,2026-01-15T14:43:15.695Z
