title,make,model,era,origin,vehicleLocation,seller,sellerLocation,sellerType,listingDetail1,listingDetail2,listingDetail3,listingDetail4,listingDetail5,views,watchers,auctionUrl,scrapedAt
1981 BMW 320i 5-Speed,BMW,BMW E21 3-Series,1980s,German,United States,FirehouseVintage,"Statesville, North Carolina 28625",Dealer,Chassis: WBAAG4300B8061806,80k Miles Shown,1.8-Liter M10 Inline-Four,Five-Speed Manual Transmission,Chestnut Red Metallic Paint,7251,712,https://bringatrailer.com/listing/1981-bmw-320i-23/,2026-01-14T14:55:50.993Z
"2,270cc-Powered 1976 Porsche 912E",Porsche,Porsche 912E,1970s,German,United States,1600veloce,"North Salem, New York 10560",Private,Chassis: 9126001091,101k Miles Shown,"Rebuilt 2,270 Flat-Four",Dual Weber Carburetors,Five-Speed Manual Transaxle,17677,1588,https://bringatrailer.com/listing/1976-porsche-912e-96/,2026-01-14T14:55:53.743Z
1970 Jaguar XKE Series II Roadster,Jaguar,Jaguar XKE Series II,1970s,British,United States,Krakken,"Marietta, Georgia 30062",Private,Chassis: 1R13629,74k Miles Shown,4.2-Liter Inline-Six,Dual Zenith-Stromberg Carburetors,Four-Speed Manual Transmission,10221,1091,https://bringatrailer.com/listing/1970-jaguar-e-type-series-ii-roadster-14/,2026-01-14T14:55:55.541Z
